;index_classifier;date;reunion;course;numPmu;place;nom;rapport;specialite;hippo_code
152;sgdclassifier;17/02/2023;6;5;13.0;1;ARDAKAN;10.0;plat;DUB
147;kneighborsclassifier;17/02/2023;6;5;5.0;1;COUNT ROSTOV;24.0;plat;DUB
150;decisiontreeclassifier;17/02/2023;6;5;8.0;1;KEMARI;2.1;plat;DUB
151;decisiontreeclassifier;17/02/2023;6;5;10.0;1;SISKANY;1.8;plat;DUB
150;adaboostclassifier;17/02/2023;6;5;8.0;1;KEMARI;2.1;plat;DUB
151;adaboostclassifier;17/02/2023;6;5;10.0;1;SISKANY;1.8;plat;DUB
160;sgdclassifier;17/02/2023;6;6;1.0;1;NATIONS PRIDE;1.8;plat;DUB
164;sgdclassifier;17/02/2023;6;6;9.0;1;OTTOMAN FLEET;1.8;plat;DUB
160;decisiontreeclassifier;17/02/2023;6;6;1.0;1;NATIONS PRIDE;1.8;plat;DUB
164;decisiontreeclassifier;17/02/2023;6;6;9.0;1;OTTOMAN FLEET;1.8;plat;DUB
160;adaboostclassifier;17/02/2023;6;6;1.0;1;NATIONS PRIDE;1.8;plat;DUB
164;adaboostclassifier;17/02/2023;6;6;9.0;1;OTTOMAN FLEET;1.8;plat;DUB
156;decisiontreeclassifier;17/02/2023;6;7;11.0;1;KING GOLD;1.5;plat;DUB
156;adaboostclassifier;17/02/2023;6;7;11.0;1;KING GOLD;1.5;plat;DUB
167;decisiontreeclassifier;17/02/2023;7;5;2.0;1;RISK FREE;1.7;plat;U01
168;decisiontreeclassifier;17/02/2023;7;5;6.0;1;BALENTINA;1.7;plat;U01
167;adaboostclassifier;17/02/2023;7;5;2.0;1;RISK FREE;1.7;plat;U01
168;adaboostclassifier;17/02/2023;7;5;6.0;1;BALENTINA;1.7;plat;U01
175;kneighborsclassifier;17/02/2023;7;7;5.0;1;SECURITY CODE;0.0;plat;U01
176;kneighborsclassifier;17/02/2023;7;7;6.0;1;VAX;0.0;plat;U01
178;kneighborsclassifier;17/02/2023;7;7;8.0;1;MY SWEET KHAILE;0.0;plat;U01
169;kneighborsclassifier;17/02/2023;7;8;1.0;1;FULIGNI;1.1;plat;U01
180;decisiontreeclassifier;17/02/2023;8;7;3.0;1;AWESOME ANNMARIE;1.7;plat;GPD
181;decisiontreeclassifier;17/02/2023;8;7;6.0;1;GITANA;1.7;plat;GPD
180;adaboostclassifier;17/02/2023;8;7;3.0;1;AWESOME ANNMARIE;1.7;plat;GPD
181;adaboostclassifier;17/02/2023;8;7;6.0;1;GITANA;1.7;plat;GPD
186;kneighborsclassifier;17/02/2023;8;8;5.0;1;TIZ ROMANTIC;0.0;plat;GPD
189;kneighborsclassifier;17/02/2023;8;8;8.0;1;GOSPEL WAY;0.0;plat;GPD
192;kneighborsclassifier;17/02/2023;8;9;6.0;1;WEST BANK;1.1;plat;GPD
236;sgdclassifier;18/02/2023;1;1;1.0;1;SWING FOR ME;1.8;plat;CAG
240;sgdclassifier;18/02/2023;1;1;5.0;1;EUREKA;3.1;plat;CAG
236;kneighborsclassifier;18/02/2023;1;1;1.0;1;SWING FOR ME;1.8;plat;CAG
236;decisiontreeclassifier;18/02/2023;1;1;1.0;1;SWING FOR ME;1.8;plat;CAG
236;adaboostclassifier;18/02/2023;1;1;1.0;1;SWING FOR ME;1.8;plat;CAG
209;sgdclassifier;18/02/2023;1;2;2.0;1;EDALA;3.2;plat;CAG
210;sgdclassifier;18/02/2023;1;2;4.0;1;NO TIME;33.0;plat;CAG
212;sgdclassifier;18/02/2023;1;2;6.0;1;OPIANA;1.2;plat;CAG
212;decisiontreeclassifier;18/02/2023;1;2;6.0;1;OPIANA;1.2;plat;CAG
212;adaboostclassifier;18/02/2023;1;2;6.0;1;OPIANA;1.2;plat;CAG
3;sgdclassifier;17/02/2023;1;3;4.0;1;GOTTA FEELING;11.0;trot attele;CAG
7;sgdclassifier;17/02/2023;1;3;8.0;1;GEODE DU CHERISAY;8.0;trot attele;CAG
268;sgdclassifier;18/02/2023;1;3;3.0;1;SZAFRAN;2.9;plat;CAG
269;sgdclassifier;18/02/2023;1;3;4.0;1;KIZMAMBO;1.9;plat;CAG
269;kneighborsclassifier;18/02/2023;1;3;4.0;1;KIZMAMBO;1.9;plat;CAG
269;decisiontreeclassifier;18/02/2023;1;3;4.0;1;KIZMAMBO;1.9;plat;CAG
268;adaboostclassifier;18/02/2023;1;3;3.0;1;SZAFRAN;2.9;plat;CAG
269;adaboostclassifier;18/02/2023;1;3;4.0;1;KIZMAMBO;1.9;plat;CAG
203;sgdclassifier;18/02/2023;1;4;11.0;1;ETHION;3.8;plat;CAG
26;sgdclassifier;17/02/2023;1;5;4.0;1;GAOTCHO JIEL;2.4;trot attele;CAG
33;sgdclassifier;17/02/2023;1;5;11.0;1;DESTRIER D'OR;16.0;trot attele;CAG
34;sgdclassifier;17/02/2023;1;5;12.0;1;DEZIO JOSSELYN;12.0;trot attele;CAG
253;sgdclassifier;18/02/2023;1;5;1.0;1;SEPTANTE;6.2;plat;CAG
263;sgdclassifier;18/02/2023;1;5;11.0;1;CHANT D'AUTOMNE;5.0;plat;CAG
264;sgdclassifier;18/02/2023;1;5;12.0;1;BERETS VERTS;3.2;plat;CAG
264;adaboostclassifier;18/02/2023;1;5;12.0;1;BERETS VERTS;3.2;plat;CAG
213;decisiontreeclassifier;18/02/2023;1;6;1.0;1;HOOKING;2.2;plat;CAG
213;adaboostclassifier;18/02/2023;1;6;1.0;1;HOOKING;2.2;plat;CAG
6;kneighborsclassifier;17/02/2023;1;6;7.0;1;EMIR DE CHENU;10.0;trot monte;CAG
5;decisiontreeclassifier;17/02/2023;1;6;6.0;1;INGRID TURGOT;2.4;trot monte;CAG
5;adaboostclassifier;17/02/2023;1;6;6.0;1;INGRID TURGOT;2.4;trot monte;CAG
64;sgdclassifier;17/02/2023;1;7;5.0;1;KEROZEN;2.1;trot attele;CAG
232;sgdclassifier;18/02/2023;1;7;9.0;1;GIN GEMBRE;2.5;plat;CAG
233;sgdclassifier;18/02/2023;1;7;10.0;1;RECORD THE SHAW;7.8;plat;CAG
228;kneighborsclassifier;18/02/2023;1;7;5.0;1;FLAMINGO HOLLOW;11.0;plat;CAG
229;kneighborsclassifier;18/02/2023;1;7;6.0;1;HEALEY;10.0;plat;CAG
232;decisiontreeclassifier;18/02/2023;1;7;9.0;1;GIN GEMBRE;2.5;plat;CAG
232;adaboostclassifier;18/02/2023;1;7;9.0;1;GIN GEMBRE;2.5;plat;CAG
54;sgdclassifier;17/02/2023;1;8;8.0;1;HONKY TONK BLUES;2.3;trot attele;CAG
243;sgdclassifier;18/02/2023;1;8;3.0;1;LAVANDIER;5.8;plat;CAG
244;kneighborsclassifier;18/02/2023;1;8;4.0;1;MANNE;6.0;plat;CAG
247;kneighborsclassifier;18/02/2023;1;8;7.0;1;HUNTBA;9.2;plat;CAG
249;kneighborsclassifier;18/02/2023;1;8;9.0;1;AZACHOP;6.9;plat;CAG
274;sgdclassifier;18/02/2023;2;1;2.0;1;JESUBA;4.4;plat;ANG
276;kneighborsclassifier;18/02/2023;2;1;4.0;1;JEWEL STAR;8.1;plat;ANG
277;kneighborsclassifier;18/02/2023;2;1;5.0;1;IDOLE DES BAMBOUS;11.0;plat;ANG
12;kneighborsclassifier;17/02/2023;2;1;6.0;1;JAVRILLON;3.8;trot monte;GRA
78;sgdclassifier;17/02/2023;2;2;4.0;1;KEYLA GREVIR;16.0;trot attele;GRA
80;sgdclassifier;17/02/2023;2;2;6.0;1;KENTUCKY SAM;15.0;trot attele;GRA
82;sgdclassifier;17/02/2023;2;2;8.0;1;KAZAN BEACH;11.0;trot attele;GRA
55;kneighborsclassifier;18/02/2023;2;2;2.0;1;GRAND DE THAIX;10.0;obstacle;ANG
62;kneighborsclassifier;18/02/2023;2;2;9.0;1;TAHANRUN;23.0;obstacle;ANG
64;kneighborsclassifier;18/02/2023;2;2;11.0;1;JOLY RISK;6.0;obstacle;ANG
23;sgdclassifier;17/02/2023;2;3;9.0;1;GOAL DE LA MORTRIE;5.3;trot monte;GRA
23;kneighborsclassifier;17/02/2023;2;3;9.0;1;GOAL DE LA MORTRIE;5.3;trot monte;GRA
25;decisiontreeclassifier;17/02/2023;2;3;11.0;1;IGOR DU PARC;2.5;trot monte;GRA
25;adaboostclassifier;17/02/2023;2;3;11.0;1;IGOR DU PARC;2.5;trot monte;GRA
42;sgdclassifier;18/02/2023;2;3;15.0;1;ALCOBAVI;5.0;obstacle;ANG
39;kneighborsclassifier;18/02/2023;2;3;11.0;1;SPILOU;10.0;obstacle;ANG
91;sgdclassifier;17/02/2023;2;4;9.0;1;JAZZY D'AUVRECY;7.3;trot attele;GRA
93;sgdclassifier;17/02/2023;2;4;11.0;1;JAVA DU BAS BOSQ;6.7;trot attele;GRA
8;kneighborsclassifier;18/02/2023;2;4;2.0;1;LIBERTA;7.6;obstacle;ANG
122;sgdclassifier;17/02/2023;2;5;4.0;1;JOYAU DE L'ITON;9.2;trot attele;GRA
124;sgdclassifier;17/02/2023;2;5;6.0;1;JACKPOT DE MAHEY;35.0;trot attele;GRA
128;sgdclassifier;17/02/2023;2;5;10.0;1;JANGO DU THANA;10.0;trot attele;GRA
66;sgdclassifier;18/02/2023;2;5;1.0;1;GENTLEMAN D'ATHON;5.8;obstacle;ANG
71;kneighborsclassifier;18/02/2023;2;5;6.0;1;GINO DINO;7.7;obstacle;ANG
73;kneighborsclassifier;18/02/2023;2;5;10.0;1;GEMINI D'AX;23.0;obstacle;ANG
76;kneighborsclassifier;18/02/2023;2;5;13.0;1;RASANGO;15.0;obstacle;ANG
0;sgdclassifier;18/02/2023;2;6;1.0;1;PLANTING;3.6;obstacle;ANG
5;sgdclassifier;18/02/2023;2;6;8.0;1;JAVA DE L'ITON;6.6;obstacle;ANG
7;sgdclassifier;18/02/2023;2;6;10.0;1;NIGHT ARIA;6.6;obstacle;ANG
3;kneighborsclassifier;18/02/2023;2;6;4.0;1;JACASSE CAMARA;3.9;obstacle;ANG
95;sgdclassifier;17/02/2023;2;7;1.0;1;HYROPHARE;9.6;trot attele;GRA
23;kneighborsclassifier;18/02/2023;2;7;7.0;1;TAKE THE RISK;3.9;obstacle;ANG
25;kneighborsclassifier;18/02/2023;2;7;11.0;1;IN CAPRI;7.3;obstacle;ANG
110;sgdclassifier;17/02/2023;2;8;3.0;1;FILOU SMILING;8.5;trot attele;GRA
44;sgdclassifier;18/02/2023;2;8;1.0;1;GARRICK HARMONY;2.5;obstacle;ANG
50;sgdclassifier;18/02/2023;2;8;7.0;1;GOLDEN GOLD;8.3;obstacle;ANG
44;adaboostclassifier;18/02/2023;2;8;1.0;1;GARRICK HARMONY;2.5;obstacle;ANG
166;sgdclassifier;17/02/2023;3;2;5.0;1;JAISY GES;7.8;trot attele;SON
172;sgdclassifier;17/02/2023;3;2;11.0;1;JOIA CASH;3.7;trot attele;SON
174;sgdclassifier;17/02/2023;3;2;13.0;1;JOVIAL VX;10.0;trot attele;SON
29;kneighborsclassifier;18/02/2023;3;2;3.0;1;HELIUM DE L'ITON;3.1;trot monte;AGE
36;decisiontreeclassifier;18/02/2023;3;2;10.0;1;FANAK DU BOCAGE;2.6;trot monte;AGE
36;adaboostclassifier;18/02/2023;3;2;10.0;1;FANAK DU BOCAGE;2.6;trot monte;AGE
146;sgdclassifier;17/02/2023;3;3;1.0;1;INSTINT DE CLIDE;8.9;trot attele;SON
148;sgdclassifier;17/02/2023;3;3;3.0;1;GALLAHAN;8.3;trot attele;SON
280;sgdclassifier;18/02/2023;3;3;2.0;1;GRAZY;9.1;trot attele;SON
146;sgdclassifier;17/02/2023;3;3;1.0;1;INSTINT DE CLIDE;8.9;trot attele;AGE
148;sgdclassifier;17/02/2023;3;3;3.0;1;GALLAHAN;8.3;trot attele;AGE
280;sgdclassifier;18/02/2023;3;3;2.0;1;GRAZY;9.1;trot attele;AGE
178;sgdclassifier;17/02/2023;3;4;2.0;1;ISSY D'HEROINA;4.3;trot attele;SON
188;sgdclassifier;17/02/2023;3;4;12.0;1;JOPETAS SB;4.5;trot attele;SON
250;sgdclassifier;18/02/2023;3;4;2.0;1;KIWIS DE PEN GUEN;3.0;trot attele;SON
178;sgdclassifier;17/02/2023;3;4;2.0;1;ISSY D'HEROINA;4.3;trot attele;AGE
188;sgdclassifier;17/02/2023;3;4;12.0;1;JOPETAS SB;4.5;trot attele;AGE
250;sgdclassifier;18/02/2023;3;4;2.0;1;KIWIS DE PEN GUEN;3.0;trot attele;AGE
258;sgdclassifier;18/02/2023;3;6;2.0;1;I AM EAGLE;7.1;trot attele;AGE
259;sgdclassifier;18/02/2023;3;6;3.0;1;ICARE DUNGY;1.8;trot attele;AGE
242;sgdclassifier;18/02/2023;3;8;7.0;1;FRED DE PIENCOURT;2.4;trot attele;AGE
352;sgdclassifier;18/02/2023;4;1;5.0;1;IMPERIAL BEJI;2.3;trot attele;LAV
354;sgdclassifier;18/02/2023;4;1;7.0;1;IRON DU VAAL;8.2;trot attele;LAV
357;sgdclassifier;18/02/2023;4;1;11.0;1;ICARE DU DOUET;22.0;trot attele;LAV
0;kneighborsclassifier;17/02/2023;4;1;1.0;1;ROYAUMONT;2.0;plat;CHA
2;kneighborsclassifier;17/02/2023;4;1;3.0;1;CENTRAL PARK WEST;3.1;plat;CHA
0;decisiontreeclassifier;17/02/2023;4;1;1.0;1;ROYAUMONT;2.0;plat;CHA
0;adaboostclassifier;17/02/2023;4;1;1.0;1;ROYAUMONT;2.0;plat;CHA
324;sgdclassifier;18/02/2023;4;2;5.0;1;HOSANNA DE CHENU;6.0;trot attele;LAV
325;sgdclassifier;18/02/2023;4;2;6.0;1;GRACEFUL;10.0;trot attele;LAV
328;sgdclassifier;18/02/2023;4;2;9.0;1;GUESS FOUTEAU;13.0;trot attele;LAV
100;kneighborsclassifier;17/02/2023;4;2;1.0;1;DENVER CHOP;5.9;plat;CHA
103;kneighborsclassifier;17/02/2023;4;2;4.0;1;SAUTERNE;1.6;plat;CHA
103;decisiontreeclassifier;17/02/2023;4;2;4.0;1;SAUTERNE;1.6;plat;CHA
103;adaboostclassifier;17/02/2023;4;2;4.0;1;SAUTERNE;1.6;plat;CHA
346;sgdclassifier;18/02/2023;4;3;15.0;1;FLEUR DU LUPIN;3.2;trot attele;LAV
46;sgdclassifier;17/02/2023;4;3;9.0;1;MOLLY WEASLEY;3.3;plat;CHA
47;sgdclassifier;17/02/2023;4;3;10.0;1;STELLAR JAY;5.8;plat;CHA
38;kneighborsclassifier;17/02/2023;4;3;1.0;1;LAKISSIMO;9.6;plat;CHA
